[ 0.  0.],0.0001,0.001,8824,[ 26.66661953  26.66661953],[-0.00070701 -0.00070701]
[ 0.  0.],0.0001,0.0001,10358,[ 26.66666195  26.66666195],[ -7.06904648e-05  -7.06904648e-05]
[ 0.  0.],0.0001,1e-05,11892,[ 26.6666662  26.6666662],[ -7.06803962e-06  -7.06803962e-06]
[ 0.  0.],0.0001,1e-06,13426,[ 26.66666662  26.66666662],[ -7.06703361e-07  -7.06703361e-07]
[ 0.  0.],0.0001,1e-07,14960,[ 26.66666666  26.66666666],[ -7.06605761e-08  -7.06605761e-08]
[ 0.  0.],0.0001,1e-08,16494,[ 26.66666667  26.66666667],[ -7.06506853e-09  -7.06506853e-09]
[ 0.  0.],1e-05,0.001,88299,[ 26.66661953  26.66661953],[-0.00070707 -0.00070707]
[ 0.  0.],1e-05,0.0001,103649,[ 26.66666195  26.66666195],[ -7.07009444e-05  -7.07009444e-05]
[ 0.  0.],1e-05,1e-05,118998,[ 26.6666662  26.6666662],[ -7.07053539e-06  -7.07053539e-06]
[ 0.  0.],1e-05,1e-06,134347,[ 26.66666662  26.66666662],[ -7.07096547e-07  -7.07096547e-07]
[ 0.  0.],1e-05,1e-07,149697,[ 26.66666666  26.66666666],[ -7.07037771e-08  -7.07037771e-08]
[ 0.  0.],1e-05,1e-08,165047,[ 26.66666667  26.66666667],[ -7.07098025e-09  -7.07098025e-09]
[ 0.  0.],1e-06,0.001,883047,[ 26.66661953  26.66661953],[-0.0007071 -0.0007071]
[ 0.  0.],1e-06,0.0001,1036551,[ 26.66666195  26.66666195],[ -7.07104612e-05  -7.07104612e-05]
[ 0.  0.],1e-06,1e-05,1190056,[ 26.6666662  26.6666662],[ -7.07099434e-06  -7.07099434e-06]
[ 0.  0.],1e-06,1e-06,1343560,[ 26.66666662  26.66666662],[ -7.07106153e-07  -7.07106153e-07]
[ 0.  0.],1e-06,1e-07,1497078,[ 26.66666666  26.66666666],[ -7.07100867e-08  -7.07100867e-08]
[ 0.  0.],1e-06,1e-08,1651926,[ 26.66666667  26.66666667],[ -7.07098025e-09  -7.07098025e-09]
[ 1.  1.],0.0001,0.001,8799,[ 26.66661957  26.66661957],[-0.00070652 -0.00070652]
[ 1.  1.],0.0001,0.0001,10333,[ 26.66666196  26.66666196],[ -7.06414888e-05  -7.06414888e-05]
[ 1.  1.],0.0001,1e-05,11867,[ 26.6666662  26.6666662],[ -7.06314279e-06  -7.06314279e-06]
